GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Tipo Receita; Premio Bruto ;% Receita para XIPP; Receita Bruta da Corretora XIPP ;  % Impostos retidos; Impostos retidos ; Receita recebida pela Corretora XIPP ;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar ;
Mimosa;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Mimosa Industria e Comercio Ltda;48.193.726/0001-14;Metlife;Odonto;Comissão; R$ 195,40 ;10,00%; R$ 19,54 ;6,50%; R$ 1,27 ; R$ 18,27 ;14,25%; R$ -   ; R$ 15,67 ;50,00%; R$ 7,83 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Corporate;Mimosa Industria e Comercio Ltda;48.193.726/0001-14;Metlife;Odonto;Comissão; R$ 195,40 ;10,00%; R$ 19,54 ;6,50%; R$ 1,27 ; R$ 18,27 ;14,25%; R$ -   ; R$ 15,67 ;50,00%; R$ 7,83 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;60.936.085/0001-46;Metlife;Odonto;Agenciamento; R$ 75,14 ;100,00%; R$ 75,14 ;1,50%; R$ 1,13 ; R$ 74,01 ;14,25%; R$ -   ; R$ 63,47 ;50,00%; R$ 31,73 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Amil;Odonto;Comissão; R$ 2.356,92 ;2,00%; R$ 47,14 ;1,50%; R$ 0,71 ; R$ 46,43 ;14,25%; R$ -   ; R$ 39,81 ;50,00%; R$ 19,91 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Amil;Odonto;Comissão; R$ 2.230,47 ;2,00%; R$ 44,61 ;1,50%; R$ 0,67 ; R$ 43,94 ;14,25%; R$ -   ; R$ 37,68 ;50,00%; R$ 18,84 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/01/2024;Middle;Bobinex;60.936.085/0001-46;Amil;Saúde;Ajuste; R$ -   ;0,00%; R$ -   ;0,00%; R$ -   ; R$ -   ;0,00%; R$ -   ; R$ -   ;0,00%; R$ 3.209,06 ;
;Rafael Galhardo;Messem;Parceiro;01/03/2024;;;;Amil;;Bonus; R$ -   ;0,00%; R$ -   ;0,00%; R$ -   ; R$ -   ;0,00%; R$ -   ; R$ -   ;50,00%; R$ -   ;
Banco C6 SA;Wilson Rufino;Wilson Rufino;Consultor Interno;01/12/2023;Corporate;Banco C6 SA;;Sulamerica;Saúde/Odonto;Comissão; R$ -   ;0,00%; R$ -   ;0,00%; R$ -   ; R$ -   ;0,00%; R$ -   ; R$ -   ;0,00%; R$ 25.000,00 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/09/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;Comissão; R$ 13,30 ;5,00%; R$ 0,67 ;150,00%; R$ 0,01 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;Comissão; R$ 13,30 ;5,00%; R$ 0,67 ;150,00%; R$ 0,01 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/08/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;Comissão; R$ 13,30 ;5,00%; R$ 0,67 ;150,00%; R$ 0,01 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/08/2023;Middle;Barkev;60.406.725/0001-06;Amil;Saúde;Comissão; R$ 13,30 ;5,00%; R$ 0,67 ;150,00%; R$ 0,01 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/09/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;Comissão; R$ 13,30 ;5,00%;-R$ 0,67 ;150,00%;-R$ 1,33 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
Barkev;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/10/2023;Middle;Barkev;60.406.725/0001-06;Amil;Odonto;Comissão; R$ 13,30 ;5,00%;-R$ 0,67 ;150,00%;-R$ 1,33 ; R$ 0,66 ;14,25%; R$ 0,09 ; R$ 0,57 ;10,00%; R$ 0,06 ;
M3 Trade;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Small;M3 Trade;11.129.197/0001-80;Bradesco Saúde S.A;Saúde;Comissão; R$ 7.887,49 ;0,00%; R$ 0,79 ;350,00%; R$ 0,03 ; R$ 0,76 ;14,25%; R$ 0,11 ; R$ 0,65 ;20,00%; R$ 0,13 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2023;Corporate;Ortobom;43.074.533/0025-06;Metlife Vida;Vida;Comissão; R$ 6,60 ;15,00%; R$ 0,99 ;3,50%; R$ 0,03 ; R$ 0,96 ;14,25%; R$ 0,14 ; R$ 0,82 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/03/2024;Corporate;Ortobom;"	43.074.533/0022-55";Metlife Vida;Vida;Comissão; R$ 6,64 ;15,00%; R$ 1,00 ;3,50%; R$ 0,03 ; R$ 0,96 ;14,25%; R$ 0,14 ; R$ 0,82 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;"	43.074.533/0022-55";Metlife Vida;Vida;Comissão; R$ 6,64 ;15,00%; R$ 1,00 ;3,50%; R$ 0,03 ; R$ 0,96 ;14,25%; R$ 0,14 ; R$ 0,82 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2023;Corporate;Ortobom;"	43.074.533/0022-55";Metlife Vida;Vida;Comissão; R$ 6,64 ;15,00%; R$ 1,00 ;3,50%; R$ 0,03 ; R$ 0,96 ;14,25%; R$ 0,14 ; R$ 0,82 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Corporate;Ortobom;"	43.074.533/0022-55";Metlife Vida;Vida;Comissão; R$ 6,64 ;15,00%; R$ 1,00 ;3,50%; R$ 0,03 ; R$ 0,96 ;14,25%; R$ 0,14 ; R$ 0,82 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/03/2024;Corporate;Ortobom;43.074.533/0025-06;Metlife Vida;Vida;Comissão; R$ 6,72 ;15,00%; R$ 1,01 ;3,50%; R$ 0,04 ; R$ 0,97 ;14,25%; R$ 0,14 ; R$ 0,83 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0025-06;Metlife Vida;Vida;Comissão; R$ 6,72 ;15,00%; R$ 1,01 ;3,50%; R$ 0,04 ; R$ 0,97 ;14,25%; R$ 0,14 ; R$ 0,83 ;10,00%; R$ 0,08 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Corporate;Ortobom;43.074.533/0025-06;Metlife Vida;Vida;Comissão; R$ 6,72 ;15,00%; R$ 1,01 ;3,50%; R$ 0,04 ; R$ 0,97 ;14,25%; R$ 0,14 ; R$ 0,83 ;10,00%; R$ 0,08 ;
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;16.894.775/0001-98;Odontoprev;Odonto;Comissão; R$ 11,39 ;10,00%; R$ 1,14 ;3,50%; R$ 0,04 ; R$ 1,10 ;14,25%; R$ 0,16 ; R$ 0,94 ;10,00%; R$ 0,09 ;
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;16.894.775/0001-98;Odontoprev;Odonto;Comissão; R$ 11,39 ;10,00%; R$ 1,14 ;3,50%; R$ 0,04 ; R$ 1,10 ;14,25%; R$ 0,16 ; R$ 0,94 ;10,00%; R$ 0,09 ;
Onset;Claudia Rodrigues;Claudia Rodrigues;Consultor Interno;01/01/2024;Small;Onset;01.091.850/0001-05;Sulamérica;Odonto;Comissão; R$ 109,16 ;1,20%; R$ 1,31 ;3,50%; R$ 0,05 ; R$ 1,26 ;14,25%; R$ 0,18 ; R$ 0,76 ;10,00%; R$ 0,08 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/09/2023;Middle;Lemasa;61.991.667/0006-00;Sulamerica;Odonto;Comissão; R$ 14,20 ;10,00%; R$ 1,42 ;3,50%; R$ 0,05 ; R$ 1,37 ;14,25%; R$ 0,20 ; R$ 1,18 ;10,00%; R$ 0,12 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/09/2023;Middle;Lemasa;61.991.667/0006-00;Sulamerica;Odonto;Comissão; R$ 14,20 ;10,00%; R$ 1,42 ;3,50%; R$ 0,05 ; R$ 1,37 ;14,25%; R$ 0,20 ; R$ 1,18 ;10,00%; R$ 0,12 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/10/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Odontológico S.A;Odonto;Comissão; R$ 14,20 ;10,00%; R$ 1,42 ;200,00%; R$ 0,03 ; R$ 1,39 ;14,25%; R$ 0,20 ; R$ 1,19 ;10,00%; R$ 0,12 ;
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2023;Middle;OMNILINK;09.338.999/0001-58;Zurich;VIDA;Comissão; R$ 14,66 ;10,00%; R$ 1,47 ;2,00%; R$ 0,03 ; R$ 1,44 ;14,25%; R$ 0,20 ; R$ 1,23 ;10,00%; R$ 0,12 ;
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2023;Middle;OMNILINK;09.338.999/0001-58;Zurich;VIDA;Comissão; R$ 14,66 ;10,00%; R$ 1,47 ;2,00%; R$ 0,03 ; R$ 1,44 ;14,25%; R$ 0,20 ; R$ 1,23 ;10,00%; R$ 0,12 ;
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2023;Middle;OMNILINK;09.338.999/0001-58;Zurich;VIDA;Comissão; R$ 14,67 ;10,00%; R$ 1,47 ;2,00%; R$ 0,03 ; R$ 1,44 ;14,25%; R$ 0,20 ; R$ 1,23 ;10,00%; R$ 0,12 ;
